x,y,z,yaw,index
-2.019, -0.457, -0.298, 1.22, 0
-1.91, -0.423, 0.244, 0.697, 1
-1.944, 0.169, -0.048, 1.428, 2
-2.043, -0.458, -0.309, 1.295, 0
-1.917, -0.419, 0.236, 0.637, 1
-1.954, 0.175, -0.054, 1.311, 2
-2.032, -0.445, -0.318, 1.368, 0
-1.91, -0.41, 0.227, -0.04, 1
-1.951, 0.185, -0.062, 1.264, 2
-2.041, -0.433, -0.328, 1.178, 0
-1.914, -0.398, 0.22, -0.058, 1
-1.949, 0.198, -0.067, 1.179, 2
-2.018, -0.413, -0.329, 1.332, 0
-1.914, -0.387, 0.216, -0.195, 1
-1.952, 0.212, -0.069, 1.126, 2
-2.024, -0.402, -0.333, 1.152, 0
-1.898, -0.374, 0.213, 0.328, 1
-1.936, 0.221, -0.069, 1.289, 2
-2.009, -0.389, -0.33, 1.151, 0
-1.904, -0.367, 0.216, 0.472, 1
-1.937, 0.231, -0.067, 1.317, 2
-2.019, -0.381, -0.329, 1.073, 0
-1.907, -0.358, 0.22, -0.216, 1
-1.957, 0.244, -0.062, 1.287, 2
-2.028, -0.368, -0.327, 1.204, 0
-1.901, -0.346, 0.222, 0.399, 1
-1.948, 0.255, -0.055, -0.467, 2
-2.023, -0.355, -0.323, 1.121, 0
-1.894, -0.335, 0.224, 0.539, 1
-1.93, 0.265, -0.051, 1.384, 2
-1.999, -0.341, -0.316, 1.177, 0
-1.89, -0.327, 0.228, 0.374, 1
-1.933, 0.275, -0.046, 1.318, 2
-2.0, -0.337, -0.311, 1.249, 0
-1.885, -0.324, 0.233, -0.302, 1
-1.925, 0.278, -0.04, 1.417, 2
-1.999, -0.334, -0.305, 1.156, 0
-1.884, -0.322, 0.239, 0.322, 1
-1.935, 0.281, -0.032, -0.535, 2
-2.013, -0.333, -0.304, 1.213, 0
-1.885, -0.319, 0.241, 0.418, 1
-1.928, 0.284, -0.029, -0.546, 2
-2.013, -0.328, -0.308, 1.25, 0
-1.905, -0.317, 0.238, 0.772, 1
-1.927, 0.29, -0.032, -0.547, 2
-2.011, -0.32, -0.315, 1.28, 0
-1.898, -0.31, 0.231, -0.207, 1
-1.924, 0.297, -0.038, 1.31, 2
-1.997, -0.31, -0.321, 1.306, 0
-1.904, -0.305, 0.224, 0.869, 1
-1.926, 0.304, -0.043, -0.542, 2
-1.993, -0.304, -0.329, 1.353, 0
-1.892, -0.3, 0.214, 0.876, 1
-1.905, 0.306, -0.05, 1.296, 2
-1.999, -0.301, -0.337, 1.239, 0
-1.887, -0.294, 0.209, 0.217, 1
-1.918, 0.313, -0.056, -0.519, 2
-1.993, -0.294, -0.34, 1.263, 0
-1.88, -0.286, 0.207, 0.251, 1
-1.92, 0.32, -0.059, -0.501, 2
-1.988, -0.286, -0.336, 1.183, 0
-1.872, -0.278, 0.211, 0.369, 1
-1.915, 0.327, -0.055, -0.438, 2
-1.974, -0.276, -0.326, 1.118, 0
-1.856, -0.267, 0.219, 0.616, 1
-1.909, 0.335, -0.046, -0.435, 2
-1.966, -0.264, -0.313, 1.151, 0
-1.866, -0.258, 0.231, 0.641, 1
-1.918, 0.348, -0.036, -0.355, 2
-1.968, -0.254, -0.3, 1.22, 0
-1.866, -0.249, 0.245, 0.723, 1
-1.906, 0.356, -0.022, -0.285, 2
-1.978, -0.25, -0.289, 1.192, 0
-1.86, -0.243, 0.255, 0.689, 1
-1.907, 0.363, -0.011, -0.335, 2
-1.989, -0.245, -0.284, 1.221, 0
-1.868, -0.237, 0.261, 0.866, 1
-1.885, 0.365, -0.006, -0.317, 2
-2.002, -0.242, -0.283, 1.259, 0
-1.862, -0.23, 0.262, 0.812, 1
-1.896, 0.373, -0.005, -0.293, 2
-1.979, -0.233, -0.281, 1.305, 0
-1.862, -0.222, 0.261, 0.873, 1
-1.888, 0.379, -0.008, -0.368, 2
-1.989, -0.228, -0.284, 1.275, 0
-1.864, -0.215, 0.26, 0.984, 1
-1.887, 0.387, -0.012, -0.363, 2
-1.984, -0.221, -0.286, 1.368, 0
-1.858, -0.205, 0.258, 0.938, 1
-1.878, 0.394, -0.016, -0.397, 2
-1.976, -0.213, -0.287, 1.283, 0
-1.855, -0.198, 0.257, 0.923, 1
-1.882, 0.402, -0.019, -0.278, 2
-1.975, -0.209, -0.286, 1.276, 0
-1.844, -0.191, 0.258, 0.991, 1
-1.878, 0.407, -0.019, -0.344, 2
-1.955, -0.203, -0.277, 1.246, 0
-1.846, -0.186, 0.266, 0.593, 1
-1.868, 0.411, -0.015, -0.371, 2
-1.954, -0.198, -0.268, 1.198, 0
-1.842, -0.178, 0.275, 0.841, 1
-1.874, 0.418, -0.009, -0.158, 2
-1.971, -0.196, -0.262, 1.322, 0
-1.844, -0.172, 0.282, 1.241, 1
-1.88, 0.426, -0.004, -0.129, 2
-1.961, -0.19, -0.255, 1.262, 0
-1.83, -0.162, 0.285, 0.448, 1
-1.87, 0.431, -0.002, -0.215, 2
-1.986, -0.182, -0.257, 1.215, 0
-1.83, -0.149, 0.285, 0.939, 1
-1.853, 0.439, -0.003, -0.254, 2
-1.975, -0.169, -0.26, 1.363, 0
-1.848, -0.139, 0.282, 1.134, 1
-1.841, 0.45, -0.009, -0.346, 2
-1.965, -0.157, -0.271, 1.473, 0
-1.853, -0.129, 0.27, 1.129, 1
-1.847, 0.463, -0.02, -0.352, 2
-1.956, -0.148, -0.284, 1.442, 0
-1.843, -0.12, 0.256, 1.132, 1
-1.835, 0.469, -0.034, -0.433, 2
-1.956, -0.14, -0.296, 1.401, 0
-1.84, -0.112, 0.247, 1.145, 1
-1.845, 0.481, -0.046, -0.314, 2
-1.937, -0.134, -0.299, 1.264, 0
-1.84, -0.107, 0.244, 1.401, 1
-1.832, 0.483, -0.051, -0.238, 2
-1.937, -0.133, -0.298, 1.285, 0
-1.831, -0.106, 0.247, 0.95, 1
-1.84, 0.487, -0.049, -0.254, 2
-1.93, -0.136, -0.289, 1.307, 0
-1.826, -0.11, 0.256, 1.286, 1
-1.837, 0.482, -0.041, -0.178, 2
-1.955, -0.147, -0.28, 1.459, 0
-1.817, -0.118, 0.269, 1.154, 1
-1.838, 0.473, -0.03, -0.192, 2
-1.931, -0.156, -0.263, 1.368, 0
-1.82, -0.125, 0.282, 1.214, 1
-1.826, 0.461, -0.019, -0.267, 2
-1.945, -0.167, -0.253, 1.328, 0
-1.808, -0.132, 0.29, 1.035, 1
-1.845, 0.457, -0.011, -0.181, 2
-1.959, -0.178, -0.249, 1.15, 0
-1.812, -0.14, 0.295, 1.092, 1
-1.855, 0.451, -0.008, -0.099, 2
-1.944, -0.188, -0.247, 1.135, 0
-1.809, -0.149, 0.293, 1.272, 1
-1.864, 0.444, -0.01, -0.048, 2
-1.93, -0.197, -0.25, 1.178, 0
-1.825, -0.16, 0.292, 1.413, 1
-1.866, 0.434, -0.014, -0.064, 2
-1.915, -0.205, -0.255, 1.23, 0
-1.812, -0.168, 0.283, 0.946, 1
-1.862, 0.425, -0.021, -0.13, 2
-1.936, -0.219, -0.265, 1.053, 0
-1.804, -0.179, 0.278, 0.41, 1
-1.866, 0.413, -0.026, -0.135, 2
-1.947, -0.236, -0.265, 1.191, 0
-1.808, -0.191, 0.282, 0.921, 1
-1.853, 0.396, -0.025, -0.218, 2
-1.926, -0.245, -0.254, 1.341, 0
-1.802, -0.2, 0.292, 0.985, 1
-1.851, 0.385, -0.017, -0.319, 2
-1.913, -0.251, -0.239, 1.396, 0
-1.797, -0.203, 0.304, 0.994, 1
-1.844, 0.378, -0.006, -0.325, 2
-1.92, -0.255, -0.229, 1.367, 0
-1.8, -0.205, 0.314, 1.146, 1
-1.854, 0.377, 0.002, -0.28, 2
-1.91, -0.258, -0.224, 1.21, 0
-1.801, -0.21, 0.315, 1.113, 1
-1.858, 0.373, 0.004, -0.233, 2
-1.908, -0.269, -0.228, 1.162, 0
-1.809, -0.223, 0.311, 1.378, 1
-1.887, 0.368, -0.001, -0.097, 2
-1.901, -0.28, -0.237, 1.172, 0
-1.806, -0.233, 0.301, 1.538, 1
-1.879, 0.354, -0.009, -0.249, 2
-1.903, -0.285, -0.246, 1.349, 0
-1.81, -0.238, 0.294, 0.909, 1
-1.86, 0.346, -0.014, -0.408, 2
-1.919, -0.284, -0.254, 1.345, 0
-1.804, -0.235, 0.289, 0.95, 1
-1.854, 0.348, -0.016, -0.356, 2
-1.917, -0.277, -0.257, 1.422, 0
-1.807, -0.231, 0.287, 1.09, 1
-1.859, 0.354, -0.016, -0.325, 2
-1.907, -0.271, -0.256, 1.316, 0
-1.795, -0.226, 0.287, 1.022, 1
-1.855, 0.358, -0.015, -0.308, 2
-1.912, -0.268, -0.253, 1.306, 0
-1.79, -0.221, 0.29, 0.871, 1
-1.851, 0.362, -0.01, -0.303, 2
-1.897, -0.261, -0.247, 1.329, 0
-1.795, -0.216, 0.294, 1.001, 1
-1.86, 0.369, -0.008, -0.247, 2
-1.92, -0.258, -0.25, 1.318, 0
-1.802, -0.211, 0.294, 1.092, 1
-1.845, 0.372, -0.01, -0.357, 2
-1.914, -0.255, -0.254, 1.379, 0
-1.802, -0.209, 0.289, 1.066, 1
-1.855, 0.377, -0.015, -0.358, 2
-1.918, -0.259, -0.256, 1.185, 0
-1.787, -0.213, 0.287, 0.956, 1
-1.869, 0.375, -0.018, -0.214, 2
-1.925, -0.274, -0.253, 1.206, 0
-1.794, -0.226, 0.294, 1.014, 1
-1.854, 0.358, -0.015, -0.26, 2
-1.921, -0.292, -0.244, 1.299, 0
-1.799, -0.24, 0.302, 1.059, 1
-1.862, 0.343, -0.011, -0.225, 2
-1.922, -0.306, -0.238, 1.403, 0
-1.778, -0.247, 0.306, 0.929, 1
-1.863, 0.331, -0.006, -0.337, 2
-1.894, -0.309, -0.224, 1.504, 0
-1.783, -0.254, 0.318, 0.986, 1
-1.856, 0.323, 0.005, -0.391, 2
-1.895, -0.307, -0.211, 1.295, 0
-1.784, -0.254, 0.331, 1.09, 1
-1.86, 0.325, 0.023, -0.41, 2
-1.924, -0.299, -0.204, 1.101, 0
-1.774, -0.243, 0.337, 1.003, 1
-1.869, 0.339, 0.038, -0.073, 2
-1.945, -0.28, -0.203, 0.97, 0
-1.787, -0.23, 0.34, 1.006, 1
-1.863, 0.357, 0.048, -0.1, 2
-1.952, -0.257, -0.206, 1.416, 0
-1.786, -0.214, 0.336, 1.022, 1
-1.85, 0.374, 0.052, -0.122, 2
-1.941, -0.234, -0.215, 1.294, 0
-1.796, -0.201, 0.325, 1.018, 1
-1.833, 0.389, 0.046, -0.284, 2
-1.915, -0.212, -0.232, 1.361, 0
-1.795, -0.188, 0.304, 1.04, 1
-1.83, 0.405, 0.032, -0.383, 2
-1.912, -0.198, -0.255, 1.384, 0
-1.791, -0.177, 0.282, 1.034, 1
-1.833, 0.419, 0.012, -0.402, 2
-1.922, -0.186, -0.279, 1.438, 0
-1.79, -0.164, 0.262, 0.967, 1
-1.818, 0.428, -0.007, -0.377, 2
-1.926, -0.172, -0.295, 1.552, 0
-1.798, -0.149, 0.252, 0.954, 1
-1.826, 0.446, -0.021, -0.277, 2
-1.927, -0.155, -0.302, 1.432, 0
-1.783, -0.132, 0.247, 0.04, 1
-1.826, 0.464, -0.027, -0.194, 2
-1.913, -0.136, -0.3, 1.163, 0
-1.781, -0.114, 0.249, 0.355, 1
-1.82, 0.482, -0.026, -0.152, 2
-1.884, -0.117, -0.287, 1.119, 0
-1.789, -0.097, 0.261, 0.973, 1
-1.821, 0.5, -0.019, -0.093, 2
-1.872, -0.106, -0.27, 1.404, 0
-1.78, -0.086, 0.274, 1.375, 1
-1.817, 0.51, -0.009, -0.087, 2
-1.881, -0.107, -0.259, 1.429, 0
-1.782, -0.082, 0.285, 1.107, 1
-1.829, 0.515, -0.005, -0.026, 2
-1.897, -0.113, -0.255, 1.337, 0
-1.789, -0.081, 0.288, 1.25, 1
-1.83, 0.514, -0.008, -0.061, 2
-1.884, -0.115, -0.26, 1.361, 0
-1.776, -0.081, 0.277, 1.354, 1
-1.831, 0.513, -0.017, -0.087, 2
-1.86, -0.113, -0.273, 1.487, 0
-1.789, -0.08, 0.262, 1.287, 1
-1.815, 0.509, -0.032, -0.323, 2
-1.865, -0.108, -0.295, 1.511, 0
-1.78, -0.074, 0.239, 1.245, 1
-1.819, 0.517, -0.052, -0.337, 2
-1.88, -0.095, -0.321, 1.444, 0
-1.777, -0.061, 0.218, 1.106, 1
-1.797, 0.525, -0.069, -0.289, 2
-1.898, -0.076, -0.342, 1.348, 0
-1.773, -0.044, 0.205, 1.006, 1
-1.799, 0.545, -0.08, -0.237, 2
-1.906, -0.055, -0.35, 1.413, 0
-1.783, -0.027, 0.204, 1.17, 1
-1.786, 0.562, -0.083, -0.211, 2
-1.881, -0.038, -0.343, 1.257, 0
-1.78, -0.011, 0.209, 0.814, 1
-1.788, 0.581, -0.08, -0.158, 2
-1.876, -0.023, -0.333, 1.159, 0
-1.771, 0.005, 0.217, 1.162, 1
-1.787, 0.597, -0.073, -0.141, 2
-1.862, -0.012, -0.32, 1.328, 0
-1.771, 0.017, 0.228, 1.506, 1
-1.784, 0.608, -0.066, -0.128, 2
-1.853, -0.005, -0.308, 1.269, 0
-1.761, 0.026, 0.236, 1.396, 1
-1.777, 0.615, -0.06, -0.081, 2
-1.858, 0.001, -0.299, 1.379, 0
-1.762, 0.035, 0.246, 1.307, 1
