x,y,z,yaw,index
-3.785, 1.308, -0.176, -0.128, 6
-3.864, -1.593, 0.008, 0.308, 0
-3.894, -1.021, -0.544, 0.936, 1
-3.687, -0.531, 0.018, 1.505, 2
-3.869, -0.023, -0.564, 1.549, 3
-3.834, 0.707, -0.489, 1.247, 4
-3.709, 0.678, 0.065, 0.015, 5
-3.818, 1.32, -0.178, -0.115, 6
-3.687, -0.531, 0.018, 1.505, 2
-3.869, -0.023, -0.564, 1.549, 3
-3.834, 0.707, -0.489, 1.247, 4
-3.718, 0.68, 0.065, -0.005, 5
-3.814, 1.318, -0.178, -0.13, 6
-3.855, -1.59, 0.009, 0.373, 0
-3.91, -1.025, -0.546, 0.936, 1
-3.687, -0.531, 0.018, 1.505, 2
-3.869, -0.023, -0.564, 1.549, 3
-3.811, 0.702, -0.486, 1.252, 4
-3.703, 0.677, 0.065, -0.074, 5
-3.814, 1.318, -0.178, -0.13, 6
-3.849, -1.587, 0.009, 0.355, 0
-3.913, -1.026, -0.547, 0.855, 1
-3.698, -0.533, 0.018, 1.504, 2
-3.851, -0.022, -0.561, 1.507, 3
-3.823, 0.705, -0.487, 1.163, 4
-3.7, 0.677, 0.065, -0.017, 5
-3.799, 1.313, -0.177, -0.129, 6
-3.817, -1.574, 0.009, 0.36, 0
-3.902, -1.023, -0.545, 0.994, 1
-3.703, -0.533, 0.018, 1.292, 2
-3.865, -0.022, -0.563, 1.507, 3
-3.841, 0.707, -0.489, -0.703, 4
-3.7, 0.677, 0.065, -0.017, 5
-3.841, 1.328, -0.179, -0.134, 6
-3.843, -1.585, 0.008, 0.391, 0
-3.703, -0.533, 0.018, 1.292, 2
-3.851, -0.022, -0.561, 1.507, 3
-3.82, 0.704, -0.487, 1.248, 4
-3.713, 0.679, 0.065, -0.017, 5
-3.848, 1.33, -0.179, -0.117, 6
-3.847, -1.586, 0.008, 0.438, 0
-3.91, -1.025, -0.546, 0.936, 1
-3.71, -0.534, 0.018, 1.504, 2
-3.851, -0.022, -0.561, 1.507, 3
-3.832, 0.706, -0.488, 1.298, 4
-3.688, 0.674, 0.065, -0.016, 5
-3.829, 1.323, -0.178, -0.132, 6
-3.847, -1.586, 0.008, 0.438, 0
-3.91, -1.025, -0.546, 0.936, 1
-3.703, -0.533, 0.018, 1.292, 2
-3.851, -0.022, -0.561, 1.507, 3
-3.85, 0.71, -0.491, 1.311, 4
-3.688, 0.674, 0.065, -0.016, 5
-3.848, 1.33, -0.179, -0.117, 6
-3.865, -1.594, 0.008, 0.437, 0
-3.89, -1.019, -0.543, 0.873, 1
-3.703, -0.533, 0.018, 1.292, 2
-3.869, -0.023, -0.564, 1.549, 3
-3.836, 0.707, -0.489, 1.312, 4
-3.685, 0.674, 0.064, -0.043, 5
-3.848, 1.33, -0.179, -0.117, 6
-3.872, -1.597, 0.008, 0.363, 0
-3.91, -1.025, -0.546, 0.936, 1
-3.698, -0.533, 0.018, 1.504, 2
-3.864, -0.023, -0.563, 1.461, 3
-3.825, 0.705, -0.488, 1.335, 4
-3.703, 0.677, 0.065, -0.074, 5
-3.845, 1.329, -0.179, -0.133, 6
-3.788, -1.563, 0.009, 0.347, 0
-3.91, -1.025, -0.546, 0.936, 1
-3.698, -0.533, 0.018, 1.504, 2
