x,y,z,yaw,index
-3.029, -0.999, 0.054, 0.346, 1
-2.922, -0.464, 0.527, 0.001, 2
-2.963, -0.042, -0.121, 1.018, 3
-2.92, 0.681, -0.164, -0.289, 4
-2.828, 0.741, 0.379, 0.535, 5
-2.889, 1.337, 0.048, 0.092, 6
-3.067, -1.483, 0.692, -0.051, 0
-3.062, -1.005, 0.06, 0.372, 1
-2.93, -0.461, 0.532, 0.856, 2
-2.969, -0.039, -0.118, 1.334, 3
-2.91, 0.682, -0.161, -0.311, 4
-2.845, 0.749, 0.385, 0.714, 5
-2.839, 1.318, 0.049, 0.044, 6
-3.057, -1.476, 0.692, -0.004, 0
-3.046, -0.997, 0.062, 0.36, 1
-2.93, -0.458, 0.534, -0.099, 2
-2.975, -0.036, -0.116, 0.726, 3
-2.907, 0.684, -0.159, -0.314, 4
-2.828, 0.748, 0.383, 0.592, 5
-2.869, 1.335, 0.051, 0.111, 6
-2.922, -0.456, 0.536, 0.823, 2
-2.98, -0.035, -0.114, 0.49, 3
-2.925, 0.689, -0.158, -0.295, 4
-2.823, 0.748, 0.385, 0.594, 5
-2.854, 1.33, 0.052, 0.083, 6
-2.93, -0.458, 0.538, 0.833, 2
-2.958, -0.035, -0.112, 0.868, 3
-2.943, 0.693, -0.158, -0.245, 4
-2.859, 0.757, 0.391, 0.852, 5
-2.862, 1.332, 0.053, 0.102, 6
-3.1, -1.498, 0.704, -0.056, 0
-3.091, -1.013, 0.066, 0.388, 1
-2.947, -0.463, 0.541, 0.86, 2
-2.961, -0.037, -0.112, 1.342, 3
-2.917, 0.685, -0.157, -0.271, 4
-2.86, 0.755, 0.391, 0.252, 5
-2.863, 1.331, 0.054, 0.087, 6
-3.072, -1.487, 0.697, -0.034, 0
-3.08, -1.011, 0.065, 0.348, 1
-2.91, -0.459, 0.533, 0.817, 2
-2.965, -0.038, -0.112, 1.298, 3
-2.911, 0.682, -0.156, -0.281, 4
-2.852, 0.75, 0.39, 0.242, 5
-2.846, 1.321, 0.054, 0.067, 6
-3.095, -1.499, 0.701, 0.0, 0
-3.073, -1.011, 0.063, 0.316, 1
-2.955, -0.466, 0.539, 0.911, 2
-2.977, -0.04, -0.114, 0.829, 3
-2.944, 0.689, -0.159, -0.234, 4
-2.856, 0.752, 0.388, 0.64, 5
-2.859, 1.326, 0.053, 0.091, 6
-3.09, -1.496, 0.698, 0.055, 0
-3.053, -1.004, 0.061, 0.353, 1
-2.909, -0.46, 0.53, -0.094, 2
-2.989, -0.039, -0.116, 0.667, 3
-2.912, 0.682, -0.157, -0.291, 4
-2.835, 0.746, 0.385, 0.591, 5
-2.836, 1.316, 0.052, 0.07, 6
-2.928, -0.462, 0.533, 0.905, 2
-2.97, -0.039, -0.116, 0.808, 3
-2.906, 0.681, -0.157, -0.289, 4
-2.856, 0.752, 0.388, 0.624, 5
-2.841, 1.319, 0.052, 0.068, 6
-3.094, -1.498, 0.701, -0.012, 0
-3.071, -1.009, 0.063, 0.409, 1
-2.924, -0.461, 0.535, -0.159, 2
-2.984, -0.039, -0.115, 0.766, 3
-2.915, 0.683, -0.157, -0.318, 4
-2.848, 0.75, 0.388, 0.684, 5
-2.871, 1.332, 0.053, 0.095, 6
-2.951, -0.465, 0.538, 0.881, 2
-2.987, -0.039, -0.115, 0.682, 3
-2.912, 0.683, -0.157, -0.344, 4
-2.829, 0.745, 0.384, 0.684, 5
-2.854, 1.325, 0.052, 0.073, 6
-3.053, -1.478, 0.692, -0.083, 0
-3.066, -1.008, 0.063, 0.387, 1
-2.937, -0.463, 0.535, 0.836, 2
-2.963, -0.039, -0.115, 0.706, 3
-2.933, 0.686, -0.161, -0.232, 4
-2.836, 0.746, 0.384, 0.638, 5
-2.849, 1.322, 0.05, 0.068, 6
-2.92, -0.464, 0.534, -0.046, 2
-2.964, -0.042, -0.114, 0.806, 3
-2.924, 0.681, -0.159, -0.357, 4
-2.864, 0.75, 0.389, 0.614, 5
-2.858, 1.322, 0.051, 0.078, 6
-3.055, -1.485, 0.694, -0.067, 0
-3.057, -1.01, 0.064, 0.408, 1
-2.928, -0.467, 0.536, -0.248, 2
-2.96, -0.044, -0.113, 0.98, 3
-2.927, 0.679, -0.157, -0.29, 4
-2.84, 0.742, 0.386, 0.67, 5
-2.869, 1.325, 0.052, 0.076, 6
-2.898, -0.464, 0.531, 0.106, 2
-2.97, -0.046, -0.113, 0.746, 3
-2.944, 0.682, -0.158, -0.26, 4
-2.832, 0.738, 0.386, 0.679, 5
-2.868, 1.323, 0.053, 0.097, 6
-2.942, -0.47, 0.542, 0.827, 2
-2.994, -0.046, -0.111, 0.373, 3
-2.911, 0.674, -0.153, -0.272, 4
-2.84, 0.741, 0.39, 0.545, 5
-2.859, 1.319, 0.057, 0.071, 6
-3.059, -1.487, 0.702, -0.042, 0
-3.08, -1.017, 0.072, 0.265, 1
-2.931, -0.467, 0.543, 0.857, 2
-2.974, -0.044, -0.107, 1.248, 3
-2.922, 0.678, -0.151, -0.259, 4
-2.85, 0.745, 0.394, 0.464, 5
-2.862, 1.322, 0.058, 0.078, 6
-2.924, -0.463, 0.544, -0.133, 2
-2.961, -0.042, -0.106, 1.252, 3
-2.935, 0.683, -0.151, -0.163, 4
-2.813, 0.738, 0.39, 0.646, 5
-2.862, 1.324, 0.059, 0.093, 6
-2.898, -0.46, 0.542, 0.249, 2
-2.989, -0.042, -0.104, 0.687, 3
-2.917, 0.679, -0.148, -0.279, 4
-2.835, 0.744, 0.395, 0.605, 5
-2.872, 1.33, 0.062, 0.114, 6
-2.923, -0.465, 0.549, 0.854, 2
-2.963, -0.043, -0.1, 0.924, 3
-2.94, 0.683, -0.146, -0.205, 4
-2.87, 0.752, 0.403, 0.867, 5
-2.89, 1.335, 0.064, 0.107, 6
-2.933, -0.467, 0.552, 0.928, 2
-2.97, -0.045, -0.099, 0.721, 3
-2.942, 0.682, -0.146, -0.234, 4
-2.85, 0.746, 0.401, 0.931, 5
-2.873, 1.327, 0.064, 0.082, 6
-3.043, -1.479, 0.709, -0.04, 0
-3.082, -1.019, 0.08, 0.414, 1
-2.947, -0.469, 0.553, 0.965, 2
-2.971, -0.046, -0.1, 0.343, 3
-2.943, 0.682, -0.147, -0.213, 4
-2.838, 0.742, 0.396, 0.694, 5
-2.855, 1.318, 0.062, 0.096, 6
-3.049, -1.482, 0.709, -0.096, 0
-3.057, -1.011, 0.078, 0.413, 1
-2.934, -0.467, 0.55, 0.873, 2
-2.958, -0.046, -0.101, 0.82, 3
-2.925, 0.677, -0.148, -0.276, 4
-2.842, 0.743, 0.396, 0.527, 5
-2.849, 1.315, 0.059, 0.065, 6
-3.063, -1.489, 0.711, -0.065, 0
-3.089, -1.021, 0.079, 0.351, 1
-2.926, -0.466, 0.547, 0.83, 2
-2.982, -0.046, -0.103, 0.71, 3
-2.916, 0.675, -0.149, -0.215, 4
-2.836, 0.741, 0.394, 0.699, 5
-2.858, 1.319, 0.059, 0.074, 6
-3.051, -1.482, 0.704, -0.09, 0
-3.094, -1.022, 0.076, 0.414, 1
-2.949, -0.469, 0.548, 0.982, 2
-2.967, -0.046, -0.105, 0.304, 3
-2.938, 0.681, -0.152, -0.24, 4
-2.833, 0.741, 0.391, 0.697, 5
-2.847, 1.314, 0.056, 0.087, 6
-3.063, -1.489, 0.706, 0.025, 0
-3.039, -1.005, 0.072, 0.345, 1
-2.942, -0.469, 0.546, 0.909, 2
-2.949, -0.045, -0.106, 0.769, 3
-2.95, 0.684, -0.154, -0.205, 4
-2.855, 0.746, 0.393, 0.591, 5
-2.847, 1.314, 0.056, 0.087, 6
-3.083, -1.5, 0.712, -0.06, 0
-3.058, -1.013, 0.074, 0.296, 1
-2.917, -0.466, 0.542, -0.015, 2
-2.963, -0.047, -0.106, 1.015, 3
-2.918, 0.675, -0.152, -0.277, 4
-2.852, 0.743, 0.394, 0.674, 5
-2.856, 1.317, 0.057, 0.104, 6
-3.06, -1.489, 0.707, 0.056, 0
-3.04, -1.007, 0.073, 0.358, 1
-2.91, -0.466, 0.542, -0.085, 2
-2.949, -0.047, -0.105, 1.014, 3
-2.905, 0.671, -0.151, -0.293, 4
-2.843, 0.741, 0.392, 0.587, 5
-2.858, 1.317, 0.057, 0.11, 6
-3.098, -1.508, 0.715, -0.003, 0
-2.906, -0.466, 0.541, -0.145, 2
-2.955, -0.047, -0.106, 1.284, 3
-2.914, 0.673, -0.151, -0.243, 4
-2.842, 0.74, 0.392, 0.639, 5
-2.872, 1.323, 0.057, 0.116, 6
-3.011, -1.467, 0.698, 0.024, 0
-3.035, -1.007, 0.076, 0.417, 1
-2.9, -0.466, 0.542, 0.052, 2
-2.975, -0.049, -0.104, 0.888, 3
-2.94, 0.678, -0.151, -0.28, 4
-2.838, 0.738, 0.395, 0.703, 5
-2.869, 1.32, 0.059, 0.094, 6
-3.057, -1.493, 0.712, -0.094, 0
-3.044, -1.012, 0.078, 0.358, 1
-2.935, -0.473, 0.551, 0.945, 2
-2.958, -0.05, -0.101, 1.242, 3
-2.941, 0.676, -0.147, -0.228, 4
-2.817, 0.731, 0.393, 0.691, 5
-2.823, 1.297, 0.06, 0.049, 6
-3.04, -1.484, 0.708, -0.133, 0
-3.026, -1.006, 0.078, 0.378, 1
-2.94, -0.474, 0.552, 0.911, 2
-2.968, -0.051, -0.101, 0.952, 3
-2.917, 0.67, -0.147, -0.315, 4
-2.813, 0.73, 0.392, 0.665, 5
-2.823, 1.297, 0.06, 0.049, 6
-3.041, -1.484, 0.708, -0.13, 0
-3.032, -1.007, 0.078, 0.33, 1
-2.947, -0.474, 0.553, 0.958, 2
-2.972, -0.051, -0.101, 1.068, 3
-2.934, 0.675, -0.147, -0.271, 4
-2.832, 0.735, 0.395, 0.688, 5
-2.863, 1.316, 0.062, 0.085, 6
-3.057, -1.49, 0.713, 0.015, 0
-2.892, -0.464, 0.544, -0.139, 2
-2.976, -0.049, -0.101, 1.194, 3
-2.897, 0.667, -0.145, -0.316, 4
-2.822, 0.734, 0.394, 0.583, 5
-2.855, 1.313, 0.062, 0.076, 6
-2.893, -0.463, 0.547, 0.102, 2
-2.963, -0.048, -0.098, 0.853, 3
-2.905, 0.67, -0.144, -0.308, 4
-2.845, 0.741, 0.399, 0.86, 5
-2.872, 1.323, 0.063, 0.125, 6
-3.053, -1.014, 0.086, 0.388, 1
-2.914, -0.468, 0.553, 0.833, 2
-2.986, -0.05, -0.096, 1.134, 3
-2.937, 0.675, -0.143, -0.22, 4
-2.836, 0.737, 0.401, 0.574, 5
-2.821, 1.297, 0.064, 0.078, 6
-3.069, -1.501, 0.722, -0.054, 0
-3.032, -1.01, 0.087, 0.423, 1
-2.934, -0.474, 0.558, 0.861, 2
-2.986, -0.053, -0.094, 0.909, 3
-2.921, 0.669, -0.141, -0.177, 4
-2.838, 0.735, 0.402, 0.659, 5
-2.859, 1.312, 0.067, 0.122, 6
-2.945, -0.48, 0.559, 0.913, 2
-2.974, -0.055, -0.094, 0.871, 3
-2.926, 0.667, -0.141, -0.228, 4
-2.827, 0.729, 0.401, 0.623, 5
-2.897, 1.324, 0.068, 0.097, 6
-3.039, -1.495, 0.718, -0.051, 0
-3.066, -1.029, 0.089, 0.374, 1
-2.958, -0.487, 0.566, 0.933, 2
-2.981, -0.06, -0.092, 1.248, 3
-2.93, 0.665, -0.139, -0.275, 4
-2.84, 0.727, 0.406, 0.681, 5
-2.869, 1.307, 0.07, 0.1, 6
-3.01, -1.486, 0.719, -0.008, 0
-3.042, -1.025, 0.095, 0.236, 1
-2.924, -0.484, 0.566, 0.97, 2
-2.97, -0.063, -0.085, 1.378, 3
-2.905, 0.655, -0.131, -0.327, 4
-2.861, 0.73, 0.415, 0.651, 5
-2.826, 1.285, 0.076, 0.055, 6
-3.034, -1.494, 0.728, -0.048, 0
-3.066, -1.031, 0.1, 0.298, 1
-2.95, -0.486, 0.574, 0.907, 2
-2.98, -0.063, -0.081, 1.394, 3
-2.905, 0.655, -0.127, -0.313, 4
-2.837, 0.726, 0.415, 0.616, 5
-2.863, 1.302, 0.08, 0.093, 6
-3.059, -1.504, 0.737, -0.064, 0
-3.039, -1.02, 0.102, 0.382, 1
-2.908, -0.478, 0.569, -0.181, 2
-2.977, -0.06, -0.079, 1.039, 3
-2.921, 0.661, -0.125, -0.233, 4
-2.839, 0.728, 0.416, 0.659, 5
-2.878, 1.311, 0.081, 0.107, 6
-2.94, -0.485, 0.575, 0.905, 2
-2.996, -0.062, -0.079, 0.256, 3
-2.947, 0.666, -0.126, -0.234, 4
-2.834, 0.725, 0.416, 0.709, 5
-2.847, 1.296, 0.081, 0.079, 6
-3.023, -1.495, 0.728, -0.074, 0
-3.027, -1.022, 0.101, 0.343, 1
-2.911, -0.484, 0.57, 0.889, 2
-2.98, -0.065, -0.079, 0.944, 3
-2.907, 0.653, -0.124, -0.263, 4
-2.857, 0.727, 0.421, 0.691, 5
-2.888, 1.31, 0.084, 0.128, 6
-3.069, -1.521, 0.743, -0.049, 0
-3.086, -1.045, 0.106, 0.303, 1
-2.925, -0.489, 0.574, 0.859, 2
-2.975, -0.069, -0.077, 0.977, 3
-2.895, 0.647, -0.122, -0.341, 4
-2.86, 0.725, 0.423, 0.655, 5
-2.887, 1.306, 0.085, 0.107, 6
-3.05, -1.509, 0.744, 0.01, 0
-3.048, -1.032, 0.11, 0.336, 1
-2.926, -0.488, 0.58, 0.914, 2
-2.977, -0.068, -0.073, 1.002, 3
-2.935, 0.656, -0.12, -0.117, 4
-2.843, 0.722, 0.424, 0.588, 5
-2.874, 1.3, 0.087, 0.102, 6
-3.081, -1.524, 0.762, -0.031, 0
-3.035, -1.026, 0.118, 0.321, 1
-2.917, -0.485, 0.587, 0.835, 2
-2.964, -0.066, -0.064, 0.962, 3
-2.945, 0.66, -0.113, -0.122, 4
-2.843, 0.723, 0.432, 0.656, 5
-2.887, 1.309, 0.096, 0.134, 6
-3.029, -1.497, 0.758, -0.031, 0
-3.083, -1.041, 0.129, 0.31, 1
-2.938, -0.487, 0.6, 0.931, 2
-2.961, -0.065, -0.055, 1.196, 3
-2.913, 0.654, -0.103, -0.249, 4
-2.847, 0.726, 0.441, 0.1, 5
-2.875, 1.304, 0.104, 0.151, 6
-3.037, -1.498, 0.767, -0.033, 0
-3.057, -1.03, 0.135, 0.342, 1
-2.94, -0.486, 0.607, 0.978, 2
-2.95, -0.063, -0.048, 1.143, 3
-2.927, 0.658, -0.097, -0.155, 4
-2.847, 0.729, 0.448, 0.762, 5
-2.853, 1.297, 0.109, 0.104, 6
-2.899, -0.478, 0.605, -0.142, 2
-2.992, -0.062, -0.041, 0.026, 3
-2.951, 0.666, -0.09, -0.224, 4
-2.815, 0.722, 0.45, 0.686, 5
-2.907, 1.324, 0.119, 0.145, 6
-3.071, -1.514, 0.781, 0.005, 0
-3.137, -1.053, 0.148, 0.455, 1
-2.931, -0.483, 0.612, 0.951, 2
-2.974, -0.06, -0.039, 1.542, 3
-2.957, 0.669, -0.087, -0.126, 4
-2.853, 0.732, 0.459, 0.545, 5
-2.861, 1.303, 0.121, 0.131, 6
-3.065, -1.513, 0.778, -0.023, 0
-3.067, -1.032, 0.142, 0.422, 1
-2.954, -0.488, 0.616, 1.005, 2
-2.981, -0.062, -0.04, 1.322, 3
-2.927, 0.66, -0.087, -0.199, 4
-2.853, 0.73, 0.456, 0.668, 5
-2.891, 1.315, 0.12, 0.14, 6
-3.045, -1.501, 0.769, -0.042, 0
-3.107, -1.045, 0.141, 0.517, 1
-2.919, -0.48, 0.604, 0.859, 2
-2.982, -0.062, -0.044, 1.095, 3
-2.932, 0.661, -0.092, -0.25, 4
-2.851, 0.731, 0.451, 0.805, 5
-2.885, 1.312, 0.114, 0.134, 6
-3.065, -1.506, 0.773, -0.021, 0
-3.043, -1.02, 0.135, 0.388, 1
-2.931, -0.479, 0.603, 0.887, 2
-2.99, -0.06, -0.049, 1.508, 3
-2.942, 0.666, -0.098, -0.251, 4
-2.827, 0.727, 0.442, 0.56, 5
-2.89, 1.318, 0.109, 0.143, 6
-3.045, -1.493, 0.767, 0.059, 0
-3.052, -1.021, 0.135, 0.282, 1
-2.884, -0.47, 0.594, 0.209, 2
-2.961, -0.058, -0.049, 1.418, 3
-2.918, 0.662, -0.099, -0.177, 4
-2.837, 0.732, 0.443, 0.665, 5
-2.856, 1.305, 0.106, 0.096, 6
-3.076, -1.029, 0.139, 0.441, 1
-2.928, -0.478, 0.605, 0.902, 2
-2.979, -0.058, -0.047, 1.095, 3
-2.921, 0.662, -0.097, -0.191, 4
-2.862, 0.738, 0.45, 0.738, 5
-2.888, 1.319, 0.109, 0.145, 6
-3.012, -1.483, 0.767, 0.03, 0
-3.029, -1.017, 0.141, 0.394, 1
-2.891, -0.475, 0.603, -0.138, 2
-2.991, -0.061, -0.043, 1.175, 3
-2.904, 0.656, -0.091, -0.27, 4
-2.858, 0.734, 0.454, 0.246, 5
-2.889, 1.315, 0.114, 0.123, 6
-3.064, -1.514, 0.786, 0.023, 0
-3.031, -1.023, 0.146, 0.298, 1
-2.941, -0.488, 0.617, 0.997, 2
-2.982, -0.066, -0.039, 1.315, 3
-2.949, 0.661, -0.089, -0.189, 4
-2.835, 0.722, 0.453, 0.68, 5
-2.895, 1.312, 0.117, 0.165, 6
-2.929, -0.492, 0.616, 1.036, 2
-2.969, -0.073, -0.038, 0.731, 3
-2.965, 0.658, -0.09, -0.177, 4
