x,y,z,yaw,index
-2.368, -0.259, -0.476, 0.984, 0
-2.218, 0.234, 0.04, 0.174, 1
-2.262, 0.709, -0.566, -0.734, 2
-2.385, -0.261, -0.479, 0.943, 0
-2.225, 0.235, 0.039, 0.33, 1
-2.286, 0.717, -0.572, -0.73, 2
-2.377, -0.261, -0.478, 0.99, 0
-2.221, 0.234, 0.039, 0.491, 1
-2.279, 0.714, -0.571, -0.718, 2
-2.367, -0.26, -0.474, 1.059, 0
-2.223, 0.234, 0.041, 0.203, 1
-2.269, 0.71, -0.567, -0.752, 2
-2.374, -0.261, -0.476, 1.013, 0
-2.22, 0.233, 0.04, -0.093, 1
-2.272, 0.712, -0.569, -0.745, 2
-2.363, -0.259, -0.475, 0.951, 0
-2.224, 0.234, 0.039, -0.142, 1
-2.285, 0.716, -0.573, -0.707, 2
-2.379, -0.26, -0.478, 0.951, 0
-2.221, 0.234, 0.04, 0.011, 1
-2.285, 0.717, -0.572, -0.74, 2
-2.374, -0.26, -0.477, 0.931, 0
-2.221, 0.234, 0.039, 0.146, 1
-2.294, 0.719, -0.574, -0.709, 2
-2.368, -0.26, -0.476, 0.947, 0
-2.221, 0.234, 0.04, 0.02, 1
-2.292, 0.718, -0.574, -0.702, 2
-2.383, -0.262, -0.478, 1.018, 0
-2.218, 0.233, 0.04, -0.211, 1
-2.288, 0.717, -0.573, -0.718, 2
-2.383, -0.262, -0.478, 1.018, 0
-2.215, 0.233, 0.04, 0.183, 1
-2.282, 0.715, -0.571, -0.716, 2
-2.377, -0.261, -0.477, 1.006, 0
-2.22, 0.234, 0.04, 0.057, 1
-2.287, 0.716, -0.572, -0.715, 2
-2.38, -0.261, -0.479, 0.973, 0
-2.221, 0.234, 0.039, 0.306, 1
-2.281, 0.715, -0.571, -0.715, 2
-2.363, -0.259, -0.475, 0.961, 0
-2.219, 0.234, 0.039, 0.228, 1
-2.281, 0.715, -0.571, -0.722, 2
-2.38, -0.261, -0.479, 0.973, 0
-2.22, 0.234, 0.039, -0.026, 1
-2.289, 0.718, -0.573, -0.711, 2
-2.372, -0.261, -0.476, 0.993, 0
-2.216, 0.233, 0.04, 0.016, 1
-2.278, 0.713, -0.57, -0.718, 2
-2.373, -0.261, -0.476, 0.965, 0
-2.215, 0.233, 0.04, -0.081, 1
-2.265, 0.709, -0.567, -0.739, 2
-2.377, -0.261, -0.477, 1.008, 0
-2.222, 0.234, 0.04, -0.127, 1
-2.274, 0.712, -0.569, -0.731, 2
-2.373, -0.26, -0.477, 0.973, 0
-2.221, 0.234, 0.039, -0.324, 1
-2.295, 0.72, -0.575, -0.703, 2
-2.364, -0.259, -0.475, 0.974, 0
-2.216, 0.234, 0.039, 0.069, 1
-2.279, 0.715, -0.571, -0.73, 2
-2.376, -0.261, -0.478, 0.973, 0
-2.22, 0.234, 0.039, 0.305, 1
-2.286, 0.717, -0.572, -0.716, 2
-2.374, -0.261, -0.477, 0.932, 0
-2.216, 0.233, 0.04, 0.157, 1
-2.276, 0.713, -0.57, -0.725, 2
-2.371, -0.26, -0.476, 1.013, 0
-2.223, 0.234, 0.04, 0.745, 1
-2.284, 0.715, -0.571, -0.728, 2
-2.372, -0.26, -0.477, 0.953, 0
