x,y,z,yaw,index
-2.406, -0.414, -0.611, 1.21, 0
-2.402, 0.314, -0.577, 1.211, 1
-2.307, 0.326, -0.027, -0.394, 2
-2.402, -0.413, -0.61, 1.202, 0
-2.395, 0.313, -0.575, 1.204, 1
-2.311, 0.327, -0.027, -0.338, 2
-2.392, -0.411, -0.607, 1.226, 0
-2.424, 0.317, -0.582, 1.201, 1
-2.316, 0.328, -0.026, -0.358, 2
-2.388, -0.41, -0.606, 1.283, 0
-2.412, 0.316, -0.578, 1.186, 1
-2.314, 0.327, -0.026, -0.464, 2
-2.412, -0.415, -0.612, 1.241, 0
-2.415, 0.316, -0.579, 1.184, 1
-2.307, 0.326, -0.026, -0.464, 2
-2.403, -0.414, -0.61, 1.187, 0
-2.403, 0.314, -0.577, 1.2, 1
-2.305, 0.325, -0.027, -0.41, 2
-2.398, -0.413, -0.609, 1.221, 0
-2.411, 0.315, -0.578, 1.275, 1
-2.314, 0.327, -0.026, -0.349, 2
-2.403, -0.413, -0.61, 1.186, 0
-2.429, 0.318, -0.583, 1.184, 1
-2.312, 0.327, -0.026, -0.387, 2
-2.39, -0.411, -0.607, 1.188, 0
-2.419, 0.317, -0.58, 1.168, 1
-2.31, 0.326, -0.026, -0.42, 2
-2.405, -0.414, -0.611, 1.208, 0
-2.419, 0.317, -0.581, 1.146, 1
-2.309, 0.326, -0.027, -0.383, 2
-2.4, -0.413, -0.61, 1.196, 0
-2.405, 0.314, -0.577, 1.245, 1
-2.308, 0.326, -0.026, -0.439, 2
-2.402, -0.413, -0.61, 1.169, 0
-2.391, 0.312, -0.574, 1.213, 1
-2.309, 0.326, -0.027, -0.378, 2
-2.405, -0.414, -0.611, 1.169, 0
-2.39, 0.312, -0.574, 1.169, 1
-2.308, 0.326, -0.027, -0.43, 2
-2.402, -0.413, -0.61, 1.221, 0
-2.423, 0.317, -0.581, 1.185, 1
-2.306, 0.326, -0.027, -0.383, 2
-2.399, -0.412, -0.609, 1.198, 0
-2.427, 0.318, -0.582, 1.214, 1
-2.31, 0.326, -0.026, -0.42, 2
-2.398, -0.413, -0.609, 1.169, 0
-2.396, 0.313, -0.575, 1.19, 1
-2.304, 0.326, -0.026, -0.428, 2
-2.41, -0.415, -0.612, 1.187, 0
-2.405, 0.314, -0.577, 1.2, 1
-2.313, 0.327, -0.027, -0.403, 2
-2.398, -0.412, -0.609, 1.206, 0
-2.421, 0.317, -0.581, 1.162, 1
-2.322, 0.328, -0.026, -0.362, 2
-2.396, -0.412, -0.609, 1.221, 0
-2.417, 0.317, -0.58, 1.201, 1
-2.308, 0.326, -0.026, -0.419, 2
-2.402, -0.413, -0.61, 1.205, 0
-2.412, 0.316, -0.579, 1.147, 1
-2.311, 0.327, -0.026, -0.388, 2
-2.399, -0.413, -0.609, 1.165, 0
-2.408, 0.315, -0.578, 1.163, 1
-2.309, 0.326, -0.027, -0.393, 2
-2.39, -0.411, -0.607, 1.188, 0
-2.417, 0.316, -0.58, 1.151, 1
-2.306, 0.326, -0.026, -0.417, 2
-2.401, -0.413, -0.61, 1.182, 0
-2.411, 0.315, -0.579, 1.152, 1
-2.304, 0.326, -0.026, -0.428, 2
-2.397, -0.412, -0.609, 1.179, 0
-2.418, 0.317, -0.58, 1.162, 1
-2.306, 0.326, -0.026, -0.465, 2
-2.398, -0.412, -0.609, 1.191, 0
-2.416, 0.316, -0.58, 1.172, 1
-2.3, 0.325, -0.026, -0.43, 2
-2.397, -0.412, -0.609, 1.182, 0
-2.416, 0.316, -0.58, 1.172, 1
-2.301, 0.325, -0.026, -0.439, 2
-2.392, -0.412, -0.607, 1.178, 0
-2.42, 0.317, -0.581, 1.147, 1
-2.306, 0.326, -0.027, -0.383, 2
-2.402, -0.413, -0.61, 1.169, 0
-2.409, 0.315, -0.578, 1.146, 1
-2.306, 0.326, -0.027, -0.383, 2
-2.4, -0.413, -0.61, 1.173, 0
-2.406, 0.315, -0.578, 1.154, 1
-2.302, 0.325, -0.027, -0.388, 2
-2.397, -0.412, -0.609, 1.182, 0
-2.417, 0.316, -0.58, 1.174, 1
-2.305, 0.326, -0.027, -0.372, 2
-2.402, -0.413, -0.61, 1.155, 0
-2.414, 0.316, -0.58, 1.199, 1
-2.306, 0.326, -0.027, -0.383, 2
-2.405, -0.414, -0.611, 1.2, 0
-2.401, 0.314, -0.576, 1.156, 1
-2.306, 0.326, -0.026, -0.382, 2
-2.4, -0.413, -0.61, 1.173, 0
-2.409, 0.315, -0.578, 1.147, 1
-2.31, 0.326, -0.027, -0.351, 2
-2.401, -0.413, -0.61, 1.182, 0
-2.416, 0.316, -0.58, 1.172, 1
-2.309, 0.326, -0.027, -0.382, 2
-2.395, -0.412, -0.608, 1.165, 0
-2.418, 0.317, -0.58, 1.162, 1
-2.31, 0.326, -0.027, -0.351, 2
-2.397, -0.412, -0.609, 1.182, 0
-2.412, 0.316, -0.579, 1.147, 1
-2.318, 0.328, -0.026, -0.347, 2
-2.401, -0.413, -0.61, 1.182, 0
-2.418, 0.317, -0.58, 1.162, 1
-2.313, 0.327, -0.026, -0.402, 2
-2.4, -0.413, -0.61, 1.196, 0
-2.418, 0.317, -0.58, 1.162, 1
-2.308, 0.326, -0.026, -0.403, 2
-2.39, -0.411, -0.607, 1.194, 0
-2.41, 0.315, -0.578, 1.183, 1
-2.304, 0.325, -0.027, -0.403, 2
-2.399, -0.413, -0.609, 1.178, 0
-2.413, 0.316, -0.579, 1.183, 1
-2.311, 0.327, -0.026, -0.378, 2
-2.395, -0.412, -0.608, 1.165, 0
-2.417, 0.316, -0.58, 1.183, 1
-2.309, 0.326, -0.027, -0.387, 2
-2.395, -0.412, -0.608, 1.178, 0
-2.412, 0.316, -0.579, 1.147, 1
-2.306, 0.326, -0.027, -0.383, 2
-2.395, -0.412, -0.608, 1.178, 0
-2.402, 0.314, -0.577, 1.159, 1
-2.304, 0.325, -0.027, -0.403, 2
-2.4, -0.413, -0.61, 1.188, 0
-2.421, 0.317, -0.581, 1.174, 1
-2.31, 0.326, -0.026, -0.381, 2
-2.395, -0.412, -0.608, 1.211, 0
-2.415, 0.316, -0.58, 1.192, 1
-2.306, 0.326, -0.027, -0.383, 2
-2.393, -0.412, -0.608, 1.171, 0
-2.408, 0.315, -0.578, 1.156, 1
-2.31, 0.326, -0.027, -0.353, 2
-2.394, -0.412, -0.608, 1.188, 0
-2.415, 0.316, -0.58, 1.155, 1
-2.31, 0.326, -0.026, -0.42, 2
-2.402, -0.413, -0.61, 1.206, 0
-2.418, 0.317, -0.58, 1.162, 1
-2.302, 0.325, -0.026, -0.451, 2
-2.398, -0.412, -0.609, 1.188, 0
-2.419, 0.317, -0.581, 1.181, 1
-2.306, 0.326, -0.026, -0.465, 2
-2.398, -0.412, -0.609, 1.184, 0
-2.42, 0.317, -0.581, 1.212, 1
-2.308, 0.326, -0.026, -0.454, 2
-2.385, -0.409, -0.606, 1.259, 0
-2.409, 0.316, -0.577, 1.112, 1
