x,y,z,yaw,index
-2.219, -0.384, -0.057, -1.11, 0
-2.352, 0.13, -0.621, 1.217, 1
-2.355, 0.633, -0.091, -0.273, 2
-2.216, -0.384, -0.057, -1.212, 0
-2.349, 0.13, -0.62, 1.196, 1
-2.345, 0.631, -0.09, -0.288, 2
-2.217, -0.384, -0.057, -1.225, 0
-2.333, 0.129, -0.616, 1.238, 1
-2.353, 0.633, -0.091, -0.276, 2
-2.213, -0.384, -0.057, 1.359, 0
-2.34, 0.129, -0.618, 1.223, 1
-2.34, 0.629, -0.09, -0.277, 2
-2.213, -0.384, -0.057, 1.359, 0
-2.341, 0.129, -0.618, 1.217, 1
-2.34, 0.629, -0.09, -0.279, 2
-2.213, -0.384, -0.057, 1.359, 0
-2.338, 0.129, -0.618, 1.223, 1
-2.349, 0.632, -0.091, -0.265, 2
-2.21, -0.383, -0.057, 1.361, 0
-2.336, 0.129, -0.617, 1.219, 1
-2.355, 0.634, -0.091, -0.274, 2
-2.213, -0.384, -0.057, 1.298, 0
-2.338, 0.129, -0.618, 1.223, 1
-2.35, 0.632, -0.091, -0.272, 2
-2.211, -0.383, -0.057, 1.36, 0
-2.355, 0.13, -0.622, 1.202, 1
-2.352, 0.633, -0.091, -0.273, 2
-2.216, -0.384, -0.057, -1.319, 0
-2.338, 0.129, -0.618, 1.223, 1
-2.342, 0.63, -0.09, -0.294, 2
-2.213, -0.384, -0.057, 1.359, 0
-2.349, 0.13, -0.62, 1.209, 1
-2.347, 0.631, -0.09, -0.273, 2
-2.217, -0.384, -0.057, -1.284, 0
-2.344, 0.13, -0.619, 1.213, 1
-2.354, 0.633, -0.091, -0.256, 2
-2.213, -0.384, -0.057, 1.359, 0
-2.338, 0.129, -0.617, 1.219, 1
-2.354, 0.633, -0.091, -0.262, 2
-2.217, -0.384, -0.057, -1.284, 0
-2.34, 0.129, -0.618, 1.193, 1
-2.355, 0.634, -0.091, -0.245, 2
-2.214, -0.384, -0.057, -1.284, 0
-2.337, 0.129, -0.617, 1.203, 1
-2.347, 0.632, -0.09, -0.278, 2
-2.214, -0.384, -0.057, -1.284, 0
-2.351, 0.13, -0.621, 1.208, 1
-2.345, 0.631, -0.09, -0.286, 2
-2.216, -0.384, -0.057, -1.212, 0
-2.352, 0.13, -0.621, 1.217, 1
-2.343, 0.63, -0.09, -0.284, 2
-2.214, -0.384, -0.057, -1.284, 0
-2.338, 0.129, -0.617, 1.211, 1
-2.348, 0.632, -0.09, -0.267, 2
-2.213, -0.384, -0.057, 1.359, 0
-2.34, 0.129, -0.618, 1.225, 1
-2.339, 0.629, -0.09, -0.281, 2
-2.217, -0.384, -0.057, -1.284, 0
-2.35, 0.13, -0.621, 1.239, 1
-2.335, 0.628, -0.09, -0.298, 2
-2.217, -0.384, -0.057, -1.284, 0
-2.338, 0.129, -0.618, 1.243, 1
-2.339, 0.629, -0.09, -0.289, 2
-2.213, -0.384, -0.057, 1.359, 0
-2.337, 0.129, -0.617, 1.223, 1
-2.341, 0.63, -0.09, -0.288, 2
-2.217, -0.384, -0.057, -1.284, 0
-2.343, 0.13, -0.619, 1.224, 1
-2.34, 0.63, -0.09, -0.298, 2
-2.213, -0.384, -0.057, 1.359, 0
-2.336, 0.129, -0.617, 1.189, 1
-2.337, 0.629, -0.09, -0.286, 2
