x,y,z,yaw,index
-2.306, -0.607, 0.021, 0.478, 0
-2.376, -0.133, -0.587, 1.3, 1
-2.356, 0.593, -0.574, 1.19, 2
-2.304, -0.607, 0.02, 0.675, 0
-2.366, -0.133, -0.585, 1.303, 1
-2.347, 0.591, -0.572, 1.193, 2
-2.301, -0.606, 0.019, 0.637, 0
-2.38, -0.134, -0.59, 1.365, 1
-2.358, 0.594, -0.576, 1.208, 2
-2.293, -0.604, 0.019, 0.622, 0
-2.37, -0.133, -0.587, 1.339, 1
-2.343, 0.59, -0.572, 1.233, 2
-2.297, -0.605, 0.019, 0.639, 0
-2.37, -0.133, -0.587, 1.3, 1
-2.349, 0.592, -0.573, 1.226, 2
-2.305, -0.607, 0.02, 0.602, 0
-2.384, -0.135, -0.59, 1.305, 1
-2.346, 0.591, -0.573, 1.163, 2
-2.311, -0.609, 0.021, 0.516, 0
-2.381, -0.135, -0.589, 1.293, 1
-2.346, 0.591, -0.572, 1.137, 2
-2.301, -0.606, 0.02, 0.595, 0
-2.366, -0.133, -0.585, 1.332, 1
-2.355, 0.593, -0.574, 1.189, 2
-2.315, -0.609, 0.019, 0.604, 0
-2.406, -0.134, -0.596, 1.331, 1
-2.353, 0.594, -0.574, 1.221, 2
-2.302, -0.606, 0.019, 0.639, 0
-2.395, -0.134, -0.593, 1.389, 1
-2.356, 0.594, -0.575, 1.237, 2
-2.302, -0.606, 0.019, 0.589, 0
-2.38, -0.134, -0.589, 1.347, 1
-2.358, 0.594, -0.576, 1.211, 2
-2.306, -0.608, 0.02, 0.571, 0
-2.385, -0.135, -0.59, 1.309, 1
-2.337, 0.588, -0.57, 1.202, 2
-2.301, -0.606, 0.019, 0.612, 0
-2.39, -0.136, -0.592, 1.28, 1
-2.368, 0.596, -0.578, 1.198, 2
-2.305, -0.607, 0.019, 0.589, 0
-2.376, -0.134, -0.589, 1.289, 1
-2.37, 0.597, -0.579, 1.247, 2
-2.303, -0.607, 0.019, 0.593, 0
-2.378, -0.134, -0.59, 1.354, 1
-2.367, 0.597, -0.578, 1.199, 2
-2.303, -0.607, 0.019, 0.622, 0
-2.378, -0.134, -0.59, 1.354, 1
-2.364, 0.596, -0.578, 1.196, 2
-2.295, -0.605, 0.02, 0.633, 0
-2.379, -0.134, -0.59, 1.267, 1
-2.352, 0.592, -0.574, 1.184, 2
-2.319, -0.611, 0.02, 0.611, 0
-2.38, -0.134, -0.589, 1.301, 1
-2.345, 0.59, -0.572, 1.131, 2
-2.311, -0.609, 0.02, 0.608, 0
-2.369, -0.133, -0.586, 1.31, 1
-2.352, 0.592, -0.574, 1.169, 2
-2.301, -0.606, 0.019, 0.665, 0
-2.38, -0.134, -0.589, 1.338, 1
-2.355, 0.593, -0.575, 1.224, 2
-2.306, -0.607, 0.019, 0.671, 0
-2.393, -0.134, -0.592, 1.302, 1
-2.355, 0.594, -0.574, 1.207, 2
-2.306, -0.607, 0.019, 0.642, 0
-2.387, -0.133, -0.591, 1.313, 1
-2.349, 0.593, -0.573, 1.21, 2
-2.301, -0.606, 0.019, 0.553, 0
-2.375, -0.134, -0.589, 1.264, 1
-2.353, 0.593, -0.574, 1.212, 2
-2.314, -0.61, 0.019, 0.672, 0
-2.376, -0.134, -0.59, 1.375, 1
-2.355, 0.593, -0.577, 1.149, 2
-2.328, -0.615, 0.017, 0.699, 0
-2.403, -0.137, -0.598, 1.338, 1
-2.354, 0.592, -0.578, 1.188, 2
-2.318, -0.612, 0.015, 0.617, 0
-2.391, -0.136, -0.597, 1.283, 1
-2.349, 0.591, -0.578, 1.202, 2
-2.315, -0.612, 0.014, 0.645, 0
-2.39, -0.137, -0.599, 1.305, 1
-2.349, 0.59, -0.581, 1.223, 2
-2.303, -0.61, 0.013, 0.56, 0
-2.387, -0.138, -0.6, 1.311, 1
-2.343, 0.588, -0.582, 1.213, 2
-2.313, -0.613, 0.01, 0.516, 0
-2.364, -0.138, -0.597, 1.351, 1
-2.34, 0.586, -0.584, 1.247, 2
-2.3, -0.608, 0.009, 0.668, 0
-2.364, -0.137, -0.601, 1.318, 1
-2.349, 0.589, -0.592, 1.196, 2
-2.305, -0.612, 0.018, 0.537, 0
-2.386, -0.14, -0.599, 1.442, 1
-2.355, 0.588, -0.587, 1.174, 2
-2.331, -0.622, 0.019, 0.521, 0
-2.385, -0.144, -0.593, 1.399, 1
-2.36, 0.586, -0.581, 1.235, 2
-2.341, -0.617, 0.009, 0.546, 0
-2.395, -0.137, -0.603, 1.491, 1
-2.352, 0.591, -0.583, 1.109, 2
-2.308, -0.608, 0.007, 0.562, 0
-2.393, -0.132, -0.606, 1.227, 1
-2.35, 0.596, -0.586, 1.148, 2
-2.291, -0.606, 0.013, 0.682, 0
-2.384, -0.135, -0.599, 1.298, 1
-2.351, 0.593, -0.583, 1.197, 2
-2.31, -0.612, 0.014, 0.613, 0
-2.37, -0.138, -0.595, 1.291, 1
-2.357, 0.59, -0.585, 1.251, 2
-2.314, -0.613, 0.014, 0.484, 0
-2.366, -0.138, -0.595, 1.306, 1
-2.337, 0.585, -0.581, 1.176, 2
-2.302, -0.611, 0.018, 0.534, 0
-2.377, -0.138, -0.593, 1.31, 1
-2.355, 0.589, -0.581, 1.231, 2
-2.32, -0.615, 0.015, 0.568, 0
-2.39, -0.141, -0.598, 1.367, 1
-2.351, 0.587, -0.581, 1.188, 2
-2.318, -0.611, 0.01, 0.581, 0
-2.388, -0.136, -0.602, 1.451, 1
-2.358, 0.594, -0.588, 1.17, 2
-2.321, -0.611, 0.01, 0.55, 0
-2.384, -0.133, -0.603, 1.255, 1
-2.338, 0.591, -0.583, 1.163, 2
-2.304, -0.61, 0.014, 0.598, 0
-2.383, -0.135, -0.597, 1.315, 1
-2.348, 0.592, -0.579, 1.155, 2
-2.315, -0.614, 0.014, 0.56, 0
-2.388, -0.141, -0.599, 1.29, 1
-2.344, 0.585, -0.582, 1.246, 2
-2.318, -0.614, 0.011, 0.419, 0
-2.371, -0.139, -0.599, 1.375, 1
-2.364, 0.592, -0.592, 1.205, 2
-2.316, -0.614, 0.014, 0.592, 0
-2.368, -0.138, -0.597, 1.332, 1
-2.346, 0.588, -0.585, 1.199, 2
-2.313, -0.614, 0.014, 0.562, 0
-2.384, -0.14, -0.599, 1.226, 1
-2.348, 0.588, -0.583, 1.256, 2
-2.321, -0.614, 0.011, 0.605, 0
-2.376, -0.137, -0.6, 1.299, 1
-2.344, 0.588, -0.585, 1.247, 2
-2.315, -0.611, 0.012, 0.54, 0
-2.391, -0.136, -0.603, 1.316, 1
-2.354, 0.593, -0.585, 1.249, 2
-2.307, -0.61, 0.013, 0.734, 0
-2.371, -0.134, -0.595, 1.315, 1
-2.347, 0.591, -0.58, 1.154, 2
-2.318, -0.613, 0.014, 0.567, 0
-2.379, -0.137, -0.597, 1.241, 1
-2.34, 0.587, -0.58, 1.236, 2
-2.316, -0.613, 0.014, 0.603, 0
-2.365, -0.137, -0.594, 1.324, 1
-2.337, 0.586, -0.581, 1.226, 2
-2.313, -0.612, 0.015, 0.539, 0
-2.364, -0.137, -0.592, 1.253, 1
-2.357, 0.591, -0.584, 1.278, 2
-2.315, -0.613, 0.015, 0.522, 0
-2.378, -0.137, -0.595, 1.32, 1
-2.358, 0.592, -0.583, 1.177, 2
-2.318, -0.614, 0.013, 0.609, 0
-2.38, -0.137, -0.597, 1.253, 1
-2.345, 0.589, -0.581, 1.24, 2
-2.296, -0.607, 0.013, 0.62, 0
-2.393, -0.137, -0.602, 1.252, 1
-2.346, 0.59, -0.582, 1.168, 2
-2.314, -0.612, 0.014, 0.626, 0
-2.392, -0.136, -0.6, 1.314, 1
-2.351, 0.591, -0.582, 1.219, 2
-2.315, -0.613, 0.014, 0.475, 0
-2.374, -0.136, -0.596, 1.262, 1
-2.348, 0.589, -0.582, 1.254, 2
-2.312, -0.613, 0.014, 0.593, 0
-2.353, -0.137, -0.591, 1.29, 1
-2.351, 0.589, -0.584, 1.271, 2
-2.316, -0.614, 0.013, 0.574, 0
-2.379, -0.138, -0.598, 1.332, 1
-2.346, 0.588, -0.584, 1.241, 2
-2.306, -0.611, 0.013, 0.518, 0
-2.411, -0.138, -0.606, 1.271, 1
-2.336, 0.587, -0.58, 1.229, 2
-2.308, -0.612, 0.01, 0.603, 0
-2.381, -0.137, -0.601, 1.288, 1
-2.346, 0.589, -0.585, 1.255, 2
-2.32, -0.614, 0.011, 0.547, 0
-2.372, -0.137, -0.6, 1.266, 1
-2.336, 0.586, -0.584, 1.233, 2
-2.304, -0.611, 0.015, 0.613, 0
-2.366, -0.137, -0.594, 1.324, 1
-2.349, 0.588, -0.583, 1.238, 2
-2.313, -0.613, 0.014, 0.53, 0
-2.356, -0.137, -0.591, 1.339, 1
-2.343, 0.586, -0.581, 1.211, 2
-2.305, -0.61, 0.012, 0.477, 0
-2.403, -0.138, -0.605, 1.315, 1
-2.337, 0.586, -0.581, 1.17, 2
-2.298, -0.608, 0.012, 0.524, 0
-2.394, -0.137, -0.603, 1.199, 1
-2.345, 0.59, -0.582, 1.173, 2
-2.317, -0.614, 0.014, 0.613, 0
-2.404, -0.138, -0.604, 1.287, 1
-2.36, 0.593, -0.585, 1.246, 2
-2.306, -0.611, 0.013, 0.544, 0
-2.369, -0.137, -0.596, 1.363, 1
-2.334, 0.585, -0.581, 1.212, 2
-2.321, -0.615, 0.013, 0.577, 0
-2.363, -0.137, -0.594, 1.363, 1
-2.334, 0.585, -0.58, 1.26, 2
-2.328, -0.617, 0.011, 0.549, 0
-2.366, -0.137, -0.597, 1.368, 1
-2.339, 0.587, -0.583, 1.166, 2
-2.308, -0.612, 0.013, 0.556, 0
-2.37, -0.137, -0.597, 1.373, 1
-2.351, 0.59, -0.586, 1.166, 2
-2.319, -0.615, 0.014, 0.57, 0
-2.363, -0.137, -0.594, 1.3, 1
-2.34, 0.586, -0.581, 1.254, 2
-2.318, -0.614, 0.011, 0.563, 0
-2.374, -0.137, -0.598, 1.333, 1
-2.344, 0.588, -0.583, 1.165, 2
-2.291, -0.606, 0.012, 0.525, 0
-2.382, -0.136, -0.6, 1.261, 1
-2.339, 0.588, -0.581, 1.209, 2
-2.308, -0.611, 0.012, 0.485, 0
-2.41, -0.139, -0.606, 1.244, 1
-2.353, 0.591, -0.584, 1.276, 2
-2.315, -0.614, 0.011, 0.601, 0
-2.369, -0.138, -0.598, 1.315, 1
-2.35, 0.589, -0.587, 1.21, 2
-2.317, -0.614, 0.014, 0.583, 0
-2.369, -0.138, -0.597, 1.334, 1
-2.354, 0.59, -0.587, 1.228, 2
-2.316, -0.615, 0.015, 0.629, 0
-2.38, -0.139, -0.596, 1.383, 1
-2.345, 0.587, -0.581, 1.212, 2
-2.314, -0.613, 0.012, 0.533, 0
-2.375, -0.138, -0.598, 1.359, 1
-2.332, 0.584, -0.579, 1.239, 2
-2.326, -0.615, 0.011, 0.511, 0
-2.388, -0.137, -0.602, 1.315, 1
-2.354, 0.591, -0.586, 1.162, 2
-2.286, -0.605, 0.012, 0.508, 0
-2.377, -0.136, -0.599, 1.27, 1
-2.343, 0.589, -0.582, 1.185, 2
-2.3, -0.609, 0.012, 0.501, 0
-2.387, -0.138, -0.601, 1.379, 1
-2.339, 0.587, -0.581, 1.246, 2
-2.299, -0.609, 0.012, 0.505, 0
-2.362, -0.138, -0.596, 1.305, 1
-2.348, 0.588, -0.586, 1.217, 2
-2.318, -0.614, 0.013, 0.605, 0
-2.366, -0.138, -0.596, 1.273, 1
-2.347, 0.588, -0.585, 1.164, 2
-2.327, -0.617, 0.014, 0.587, 0
-2.361, -0.137, -0.594, 1.302, 1
-2.35, 0.588, -0.584, 1.248, 2
-2.313, -0.613, 0.011, 0.511, 0
-2.376, -0.137, -0.599, 1.323, 1
-2.353, 0.59, -0.586, 1.186, 2
-2.303, -0.61, 0.011, 0.609, 0
-2.386, -0.137, -0.602, 1.307, 1
-2.346, 0.589, -0.584, 1.154, 2
-2.298, -0.608, 0.012, 0.516, 0
-2.397, -0.137, -0.603, 1.21, 1
-2.344, 0.589, -0.582, 1.164, 2
-2.305, -0.611, 0.013, 0.524, 0
-2.376, -0.137, -0.598, 1.315, 1
-2.341, 0.587, -0.582, 1.19, 2
-2.321, -0.615, 0.013, 0.522, 0
-2.373, -0.139, -0.597, 1.267, 1
-2.349, 0.588, -0.585, 1.204, 2
-2.312, -0.613, 0.013, 0.508, 0
-2.365, -0.138, -0.595, 1.291, 1
-2.344, 0.587, -0.584, 1.161, 2
-2.308, -0.611, 0.013, 0.489, 0
-2.367, -0.137, -0.596, 1.381, 1
-2.343, 0.587, -0.582, 1.203, 2
-2.303, -0.61, 0.011, 0.522, 0
-2.372, -0.137, -0.598, 1.359, 1
-2.349, 0.589, -0.585, 1.182, 2
-2.306, -0.611, 0.012, 0.495, 0
-2.371, -0.137, -0.598, 1.35, 1
-2.344, 0.588, -0.584, 1.132, 2
-2.306, -0.611, 0.012, 0.518, 0
-2.372, -0.138, -0.598, 1.328, 1
-2.355, 0.591, -0.587, 1.148, 2
-2.314, -0.613, 0.013, 0.533, 0
-2.373, -0.138, -0.598, 1.342, 1
-2.342, 0.587, -0.583, 1.192, 2
-2.309, -0.612, 0.013, 0.565, 0
-2.366, -0.137, -0.595, 1.335, 1
-2.34, 0.587, -0.581, 1.208, 2
-2.31, -0.612, 0.011, 0.554, 0
-2.376, -0.137, -0.599, 1.341, 1
-2.351, 0.59, -0.585, 1.186, 2
-2.304, -0.61, 0.012, 0.531, 0
-2.369, -0.137, -0.597, 1.299, 1
-2.353, 0.59, -0.586, 1.17, 2
-2.308, -0.611, 0.013, 0.575, 0
-2.386, -0.138, -0.6, 1.375, 1
-2.349, 0.589, -0.584, 1.224, 2
-2.302, -0.61, 0.012, 0.487, 0
-2.373, -0.138, -0.598, 1.407, 1
-2.342, 0.587, -0.583, 1.237, 2
-2.305, -0.611, 0.012, 0.461, 0
-2.374, -0.138, -0.598, 1.349, 1
-2.352, 0.59, -0.586, 1.13, 2
-2.306, -0.611, 0.013, 0.544, 0
-2.373, -0.137, -0.597, 1.404, 1
-2.346, 0.588, -0.583, 1.255, 2
-2.3, -0.609, 0.012, 0.476, 0
-2.383, -0.137, -0.6, 1.379, 1
-2.34, 0.587, -0.582, 1.207, 2
-2.301, -0.61, 0.012, 0.473, 0
-2.371, -0.137, -0.598, 1.365, 1
-2.351, 0.59, -0.586, 1.164, 2
-2.304, -0.61, 0.012, 0.433, 0
-2.375, -0.138, -0.599, 1.36, 1
-2.346, 0.588, -0.584, 1.194, 2
-2.306, -0.611, 0.013, 0.52, 0
-2.389, -0.138, -0.601, 1.343, 1
-2.338, 0.586, -0.581, 1.24, 2
-2.308, -0.612, 0.012, 0.499, 0
-2.372, -0.137, -0.598, 1.382, 1
-2.345, 0.588, -0.584, 1.182, 2
-2.302, -0.609, 0.01, 0.628, 0
-2.402, -0.137, -0.606, 1.311, 1
-2.348, 0.591, -0.585, 1.127, 2
-2.312, -0.612, 0.01, 0.582, 0
-2.386, -0.137, -0.602, 1.264, 1
-2.367, 0.595, -0.59, 1.233, 2
-2.297, -0.609, 0.011, 0.624, 0
-2.361, -0.138, -0.597, 1.282, 1
-2.354, 0.59, -0.589, 1.225, 2
-2.303, -0.613, 0.013, 0.59, 0
-2.37, -0.141, -0.598, 1.245, 1
-2.332, 0.581, -0.584, 1.2, 2
-2.306, -0.614, 0.017, 0.624, 0
-2.38, -0.143, -0.597, 1.315, 1
-2.345, 0.582, -0.584, 1.181, 2
-2.311, -0.615, 0.017, 0.672, 0
-2.376, -0.143, -0.595, 1.33, 1
-2.355, 0.585, -0.585, 1.238, 2
-2.304, -0.611, 0.014, 0.543, 0
-2.418, -0.143, -0.607, 1.316, 1
-2.354, 0.587, -0.587, 1.239, 2
-2.304, -0.611, 0.012, 0.513, 0
-2.379, -0.138, -0.599, 1.324, 1
-2.334, 0.585, -0.581, 1.199, 2
-2.315, -0.613, 0.011, 0.559, 0
-2.388, -0.137, -0.602, 1.325, 1
-2.337, 0.587, -0.58, 1.189, 2
-2.309, -0.611, 0.011, 0.508, 0
-2.394, -0.137, -0.604, 1.326, 1
-2.357, 0.593, -0.587, 1.176, 2
-2.295, -0.608, 0.012, 0.519, 0
-2.382, -0.137, -0.6, 1.378, 1
-2.345, 0.589, -0.584, 1.18, 2
-2.304, -0.611, 0.014, 0.522, 0
-2.383, -0.139, -0.599, 1.3, 1
-2.342, 0.587, -0.583, 1.199, 2
-2.306, -0.612, 0.014, 0.527, 0
-2.387, -0.14, -0.6, 1.233, 1
-2.346, 0.587, -0.584, 1.194, 2
-2.307, -0.612, 0.014, 0.488, 0
-2.378, -0.139, -0.598, 1.229, 1
-2.349, 0.588, -0.584, 1.246, 2
-2.317, -0.614, 0.014, 0.566, 0
-2.359, -0.137, -0.593, 1.318, 1
-2.347, 0.588, -0.583, 1.253, 2
-2.305, -0.611, 0.014, 0.525, 0
-2.367, -0.137, -0.594, 1.279, 1
-2.355, 0.59, -0.585, 1.255, 2
-2.304, -0.611, 0.015, 0.592, 0
-2.381, -0.14, -0.597, 1.371, 1
-2.345, 0.587, -0.582, 1.236, 2
-2.299, -0.61, 0.015, 0.625, 0
-2.396, -0.141, -0.601, 1.328, 1
-2.358, 0.588, -0.585, 1.148, 2
-2.302, -0.611, 0.016, 0.578, 0
-2.398, -0.141, -0.601, 1.333, 1
-2.343, 0.585, -0.581, 1.203, 2
-2.314, -0.616, 0.018, 0.663, 0
-2.402, -0.142, -0.6, 1.271, 1
-2.355, 0.587, -0.582, 1.17, 2
-2.316, -0.618, 0.019, 0.532, 0
-2.369, -0.142, -0.59, 1.289, 1
-2.344, 0.582, -0.578, 1.194, 2
-2.327, -0.621, 0.019, 0.489, 0
-2.388, -0.145, -0.595, 1.201, 1
-2.355, 0.584, -0.582, 1.189, 2
-2.303, -0.614, 0.019, 0.582, 0
-2.371, -0.143, -0.591, 1.248, 1
-2.349, 0.583, -0.58, 1.139, 2
-2.3, -0.613, 0.019, 0.561, 0
-2.386, -0.141, -0.594, 1.259, 1
-2.35, 0.585, -0.578, 1.244, 2
-2.311, -0.616, 0.019, 0.538, 0
-2.396, -0.141, -0.594, 1.282, 1
-2.37, 0.592, -0.579, 1.258, 2
-2.319, -0.617, 0.02, 0.606, 0
-2.368, -0.138, -0.586, 1.25, 1
-2.345, 0.587, -0.57, 1.134, 2
-2.315, -0.614, 0.018, 0.475, 0
-2.393, -0.137, -0.594, 1.351, 1
-2.347, 0.589, -0.572, 1.239, 2
-2.309, -0.612, 0.016, 0.517, 0
-2.376, -0.135, -0.591, 1.331, 1
-2.366, 0.595, -0.578, 1.222, 2
-2.308, -0.611, 0.016, 0.457, 0
-2.397, -0.136, -0.597, 1.258, 1
-2.36, 0.594, -0.578, 1.224, 2
-2.304, -0.609, 0.017, 0.613, 0
-2.37, -0.133, -0.589, 1.311, 1
-2.344, 0.591, -0.571, 1.196, 2
-2.322, -0.611, 0.017, 0.478, 0
-2.379, -0.13, -0.59, 1.326, 1
-2.365, 0.6, -0.573, 1.205, 2
-2.299, -0.602, 0.019, 0.671, 0
-2.39, -0.127, -0.59, 1.278, 1
-2.375, 0.605, -0.572, -0.791, 2
-2.311, -0.596, 0.03, 0.672, 0
-2.369, -0.118, -0.577, 1.225, 1
